(use_descr,lower,punct,prefix,url,mention,use_text,collapse_stop_words)
((True, False, False, 'd=', False, True, False, False), 0.71809999999999996)
((True, False, False, 'd=', False, False, True, True), 0.71479999999999999)
((True, False, False, 'd=', False, False, True, False), 0.71250000000000002)
((True, False, False, 'd=', False, False, False, True), 0.71699999999999997)
((True, False, False, 'd=', False, False, False, False), 0.71689999999999998)
((True, False, False, '', True, True, True, True), 0.70429999999999993)
((True, False, False, '', True, True, True, False), 0.70720000000000005)
((True, False, False, '', True, True, False, True), 0.71219999999999994)
((True, False, False, '', True, True, False, False), 0.71630000000000005)
((True, False, False, '', True, False, True, True), 0.70730000000000004)
((True, False, False, '', True, False, True, False), 0.71419999999999995)
((True, False, False, '', True, False, False, True), 0.71650000000000003)
((True, False, False, '', True, False, False, False), 0.71649999999999991)
((True, False, False, '', False, True, True, True), 0.70589999999999997)
((True, False, False, '', False, True, True, False), 0.7087)
((True, False, False, '', False, True, False, True), 0.71399999999999997)
((True, False, False, '', False, True, False, False), 0.71809999999999996)
((True, False, False, '', False, False, True, True), 0.70950000000000002)
((True, False, False, '', False, False, True, False), 0.71290000000000009)
((True, False, False, '', False, False, False, True), 0.71699999999999997)
((True, False, False, '', False, False, False, False), 0.71689999999999998)
((False, True, True, 'd=', True, True, True, True), 0.58420000000000005)
((False, True, True, 'd=', True, True, True, False), 0.58589999999999998)
((False, True, True, 'd=', True, False, True, True), 0.59429999999999994)
((False, True, True, 'd=', True, False, True, False), 0.59999999999999998)
((False, True, True, 'd=', False, True, True, True), 0.58529999999999993)
((False, True, True, 'd=', False, True, True, False), 0.58679999999999999)
((False, True, True, 'd=', False, False, True, True), 0.59440000000000004)
((False, True, True, 'd=', False, False, True, False), 0.60240000000000005)
((False, True, True, '', True, True, True, True), 0.58420000000000005)
((False, True, True, '', True, True, True, False), 0.58589999999999998)
((False, True, True, '', True, False, True, True), 0.59429999999999994)
((False, True, True, '', True, False, True, False), 0.59999999999999998)
((False, True, True, '', False, True, True, True), 0.58529999999999993)
((False, True, True, '', False, True, True, False), 0.58679999999999999)
((False, True, True, '', False, False, True, True), 0.59440000000000004)
((False, True, True, '', False, False, True, False), 0.60240000000000005)
((False, True, False, 'd=', True, True, True, True), 0.58089999999999997)
((False, True, False, 'd=', True, True, True, False), 0.58979999999999999)
((False, True, False, 'd=', True, False, True, True), 0.59230000000000005)
((False, True, False, 'd=', True, False, True, False), 0.6038)
((False, True, False, 'd=', False, True, True, True), 0.57979999999999998)
((False, True, False, 'd=', False, True, True, False), 0.58840000000000003)
((False, True, False, 'd=', False, False, True, True), 0.59109999999999996)
((False, True, False, 'd=', False, False, True, False), 0.60319999999999996)
((False, True, False, '', True, True, True, True), 0.58089999999999997)
((False, True, False, '', True, True, True, False), 0.58979999999999999)
((False, True, False, '', True, False, True, True), 0.59230000000000005)
((False, True, False, '', True, False, True, False), 0.6038)
((False, True, False, '', False, True, True, True), 0.57979999999999998)
((False, True, False, '', False, True, True, False), 0.58840000000000003)
((False, True, False, '', False, False, True, True), 0.59109999999999996)
((False, True, False, '', False, False, True, False), 0.60319999999999996)
((False, False, True, 'd=', True, True, True, True), 0.5847)
((False, False, True, 'd=', True, True, True, False), 0.58589999999999998)
((False, False, True, 'd=', True, False, True, True), 0.59759999999999991)
((False, False, True, 'd=', True, False, True, False), 0.59870000000000001)
((False, False, True, 'd=', False, True, True, True), 0.58699999999999997)
((False, False, True, 'd=', False, True, True, False), 0.58710000000000007)
((False, False, T
